name: AMD RADEON HD7450, vendor: 1002, model: 6779
name: AMD Radeon HD7500/7600 Series, vendor: 1002, model: 6742
name: AMD Radeon HD7570, vendor: 1002, model: 6742
name: AMD Radeon HD7570, vendor: 1002, model: 6759
name: AMD Radeon HD7670, vendor: 1002, model: 6758
name: AMD RADEON HD8450, vendor: 1002, model: 6779
name: AMD Radeon HD8550, vendor: 1002, model: 6759
name: AMD Radeon HD8570, vendor: 1002, model: 6742
name: AMD Radeon HD8570, vendor: 1002, model: 6759
name: AMD Radeon HD8730, vendor: 1002, model: 6837
name: AMD Radeon R5 230, vendor: 1002, model: 6779
name: AMD Radeon R5 235, vendor: 1002, model: 6778
name: AMD Radeon R5 235X, vendor: 1002, model: 6771
name: AMD Radeon R5 M200 Series, vendor: 1002, model: 6664
name: AMD Radeon R5 M200 Series, vendor: 1002, model: 6667
name: AMD Radeon R5 M230 Series, vendor: 1002, model: 6665
name: AMD Radeon R5 M240, vendor: 1002, model: 6607
name: AMD Radeon R7 200 Series, vendor: 1002, model: 6610
name: AMD Radeon R7 200 Series, vendor: 1002, model: 6611
name: AMD Radeon R7 200 Series, vendor: 1002, model: 6613
name: AMD Radeon R7 200 Series, vendor: 1002, model: 6658
name: AMD Radeon R7 200 Series, vendor: 1002, model: 665D
name: AMD Radeon R7 240, vendor: 1002, model: 6611
name: AMD Radeon R7 M260 Series, vendor: 1002, model: 6605
name: AMD Radeon R7 M265 Series, vendor: 1002, model: 6604
name: AMD Radeon R7 Series / HD 9000 Series, vendor: 1002, model: 6835
name: AMD Radeon R9 200 Series, vendor: 1002, model: 6798
name: AMD Radeon R9 200 Series, vendor: 1002, model: 67B0
name: AMD Radeon R9 200 Series, vendor: 1002, model: 67B1
name: AMD Radeon R9 200 Series, vendor: 1002, model: 6810
name: AMD Radeon R9 200 Series, vendor: 1002, model: 6811
name: AMD Radeon R9 255, vendor: 1002, model: 6835
name: AMD Radeon R9 260, vendor: 1002, model: 665C
name: AMD Radeon R9 290, vendor: 1002, model: 67B1
name: AMD Radeon R9 290X, vendor: 1002, model: 67B0
name: AMD Radeon(TM) HD 6380G, vendor: 1002, model: 9643
name: AMD Radeon(TM) HD 6480G, vendor: 1002, model: 9648
name: AMD Radeon(TM) HD 6480G, vendor: 1002, model: 9649
name: AMD Radeon(TM) HD 6520G, vendor: 1002, model: 9647
name: AMD Radeon(TM) HD 6620G, vendor: 1002, model: 9641
name: AMD Radeon(TM) HD 6630M, vendor: 1002, model: 6741
name: AMD Radeon(TM) HD 6650M, vendor: 1002, model: 6740
name: AMD Radeon(TM) HD 7450A Graphics, vendor: 1002, model: 6779
name: AMD Radeon(TM) HD 7670M, vendor: 1002, model: 6740
name: AMD Radeon(TM) HD 8210E, vendor: 1002, model: 9835
name: AMD Radeon(TM) HD 8280E, vendor: 1002, model: 9837
name: AMD Radeon(TM) HD 8330E, vendor: 1002, model: 9833
name: AMD Radeon(TM) HD 8400E, vendor: 1002, model: 9831
name: AMD Radeon(TM) HD8490, vendor: 1002, model: 6771
name: AMD Radeon(TM) HD8970M, vendor: 1002, model: 6801
name: AMD Radeon(TM) R5 240, vendor: 1002, model: 6611
name: AMD Radeon(TM) R5 Graphics, vendor: 1002, model: 1316
name: AMD Radeon(TM) R7 250, vendor: 1002, model: 6610
name: AMD Radeon(TM) R7 Graphics, vendor: 1002, model: 130F
name: AMD Radeon(TM) R7 Graphics, vendor: 1002, model: 1313
name: ASUS ARES, vendor: 1002, model: 689C
name: ASUS ARES2, vendor: 1002, model: 6798
name: ASUS EAH5450 Series, vendor: 1002, model: 68E1
name: ASUS EAH5870 Series, vendor: 1002, model: 689C
name: ATI  Radeon HD 5000 Series, vendor: 1002, model: 68C1
